alpha_id,formula,transpiled,status,sharpe,cagr,max_dd,trades,win_rate,pnl,non_zero_pos_pct,error
Alpha#21,"((((sum(close, 8) / 8) + stddev(close, 8)) < (sum(close, 2) / 2)) ? (-1 * 1) : (((sum(close, 2) / 2) < ((sum(close, 8) / 8) - stddev(close, 8))) ? 1 : (((1 < (volume / adv20)) || ((volume / adv20) == 1)) ? 1 : (-1 * 1))))","where(((sum_(close, 8) / 8) + stddev(close, 8)) < (sum_(close, 2) / 2), -1 * 1, where((sum_(close, 2) / 2) < ((sum_(close, 8) / 8) - stddev(close, 8)), 1, where((1 < (volume / adv20)) | ((volume / adv20) == 1), 1, -1 * 1)))",SUCCESS,-1.9463925163200373,0.0,-915.0637311703374,4715,62.15528213831141,-8747360000.000002,99.64628600303183,
Alpha#22,"(-1 * (delta(correlation(high, volume, 5), 5) * rank(stddev(close, 20))))","-1 * (delta(correlation(high, volume, 5), 5) * rank(stddev(close, 20)))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#23,"(((sum(high, 20) / 20) < high) ? (-1 * delta(high, 2)) : 0)","where((sum_(high, 20) / 20) < high, -1 * delta(high, 2), 0)",SUCCESS,-1.6907546683689938,0.0,-313.69303289195034,19360,49.65872099128426,-2300888000.000009,99.64628600303183,
Alpha#24,"((((delta((sum(close, 100) / 100), 100) / delay(close, 100)) < 0.05) || ((delta((sum(close, 100) / 100), 100) / delay(close, 100)) == 0.05)) ? (-1 * (close - ts_min(close, 100))) : (-1 * delta(close, 3))) 10","where(((delta((sum_(close, 100) / 100), 100) / delay(close, 100)) < 0.05) | ((delta((sum_(close, 100) / 100), 100) / delay(close, 100)) == 0.05), -1 * (close - ts_min(close, 100)), -1 * delta(close, 3))",SUCCESS,-3.4030938292003032,0.0,-1220.704878345716,30916,50.411334552102375,-7902199999.99995,99.63736884344439,
Alpha#25,rank(((((-1 * returns) * adv20) * vwap) * (high - close))),rank((((-1 * returns) * adv20) * vwap) * (high - close)),SUCCESS,-0.3524261712872089,0.0,-182.68271965136464,1,0.0,0.0,99.5898106589781,
Alpha#26,"(-1 * ts_max(correlation(ts_rank(volume, 5), ts_rank(high, 5), 5), 3))","-1 * ts_max(correlation(ts_rank(volume, 5), ts_rank(high, 5), 5), 3)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#27,"((0.5 < rank((sum(correlation(rank(volume), rank(vwap), 6), 2) / 2.0))) ? (-1 * 1) : 1)","where(0.5 < rank(sum_(correlation(rank(volume), rank(vwap), 6), 2) / 2.0), -1 * 1, 1)",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#28,"scale(((correlation(adv20, low, 5) + ((high + low) / 2)) - close))","scale((correlation(adv20, low, 5) + ((high + low) / 2)) - close)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#29,"(min(product(rank(rank(scale(log(sum(ts_min(rank(rank((-1 * rank(delta((close - 1), 5))))), 2), 1))))), 1), 5) + ts_rank(delay((-1 * returns), 6), 5))","min_(product(rank(rank(scale(log(sum_(ts_min(rank(rank(-1 * rank(delta((close - 1), 5)))), 2), 1))))), 1), 5) + ts_rank(delay((-1 * returns), 6), 5)",SUCCESS,-3.4063055359226944,0.0,-658.2826129587519,32173,47.95384324358408,-4138607999.999981,99.5303629283952,
Alpha#30,"(((1.0 - rank(((sign((close - delay(close, 1))) + sign((delay(close, 1) - delay(close, 2)))) + sign((delay(close, 2) - delay(close, 3)))))) * sum(volume, 5)) / sum(volume, 20))","((1.0 - rank((sign(close - delay(close, 1)) + sign(delay(close, 1) - delay(close, 2))) + sign(delay(close, 2) - delay(close, 3)))) * sum_(volume, 5)) / sum_(volume, 20)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
