Timeframe,Total Trades,Win Rate,Return %,Sharpe,Max Drawdown %,PnL
5m,9182,45.05662020905923,-30.656000000005758,-0.18318582396394437,-70.54858870144449,-1102079999.9999974
10m,5056,42.50691973111902,-133.11200000000167,-0.7604383853656279,-153.0724339169249,-606960000.0000017
15m,3516,47.13231118682567,98.07200000000029,0.5436712788730408,-33.694360058116644,-422640000.0000024
30m,1735,50.576036866359445,211.8959999999998,1.1855557751439425,-48.258783470051,-208320000.0000019
