Alpha,Timeframe,Total Trades,Win Rate,Return %,Sharpe,Max Drawdown %,PnL
19,30m,2134,57.506152584085314,-345.10559999999833,-1.1167389218842245,-246.5889502788838,-307187999.9999962
19,60m,1125,60.19261637239165,10.038199999998731,0.025175797013071332,-66.23693569839217,-198113999.99999857
20,1m,93545,47.94461449966103,-2221.096000000004,-9.155319503127728,-2270.2300073667843,-11682479999.99992
20,3m,27955,48.49207462477206,-638.3039999999996,-3.0078272534002592,-638.3039999999996,-3421919999.9999948
20,5m,16315,50.260133091349054,-254.68000000000347,-1.0374515076910542,-221.13633528751683,-1983599999.9999983
20,10m,8108,48.15267922681674,-426.2000000000027,-1.7065763700995285,-332.74730292825177,-981120000.0000043
20,15m,5712,47.988904299583915,-307.59200000000067,-1.4300978202512953,-249.87293519695166,-692159999.9999938
20,30m,2811,46.355272469922156,-174.74400000000014,-1.0183853825800766,-182.10156250000003,-339120000.0000005
20,60m,1601,48.4394506866417,28.21560000000163,0.14969075216986943,-89.08634668334426,-201851999.99999648
22,1m,60298,47.38460563023079,-1727.415999999997,-7.982081630550694,-1726.895393474086,-7570800000.00009
22,3m,22059,50.93882495457298,-249.25599999999184,-0.8407595122233822,-332.6915426843812,-2773679999.9999948
22,5m,13485,50.55877776205969,-159.87199999999635,-0.5918961161575542,-186.6647298082475,-1696559999.9999998
22,10m,7113,49.466097170315,-326.2319999999995,-1.211129903328437,-263.5829493087547,-896079999.9999981
22,15m,4900,49.17020455422617,-166.08800000000232,-0.673789472476591,-142.42610566999136,-621840000.0000008
22,30m,2804,49.297658862876254,-354.23700000000093,-1.5304588065279392,-288.064565457918,-349829999.9999976
22,60m,1569,47.521160822249094,-157.49599999999987,-0.5874094588124475,-169.0144495561461,-198480000.00000095
25,1m,147788,52.27118326422564,-2896.11199999998,-10.901103315293156,-2925.4971705739495,-20489760000.000195
25,3m,50456,50.28217855442987,-1994.1119999999905,-7.616421689668684,-1995.7802866522445,-7059360000.000044
25,5m,31144,50.919973398359566,-1442.5519999999935,-5.475344832308282,-1442.5519999999935,-4330559999.999979
25,10m,16789,53.98275508109218,-70.85599999999728,-0.265178982931523,-157.3273441886561,-2338079999.999997
25,15m,11776,52.837140751658076,-397.080000000001,-1.3804658564294299,-364.52387680135735,-1628399999.9999952
25,30m,6236,48.89705882352941,-737.1279999999999,-2.534924877523345,-667.1276595744683,-848639999.9999981
25,60m,3412,51.83673469387755,-606.0800000000011,-1.7259591844989475,-606.0800000000011,-470399999.99999714
26,1m,12261,50.56579372777239,-277.5679999999997,-2.27451240699375,-261.6009870092166,-1484639999.9999993
26,3m,3994,51.58572844400396,-83.38399999999822,-0.6770878994078656,-85.59416261292436,-484319999.9999979
26,5m,2634,51.832460732984295,-152.97599999999986,-1.2004702880397977,-142.60236578707938,-320880000.0
26,10m,1194,50.330033003300336,-54.328000000000486,-0.49641408565514733,-71.46934723256435,-145439999.99999982
26,15m,831,50.0,-141.41600000000068,-1.289353651912718,-151.5597783056223,-101280000.00000048
26,30m,446,52.21238938053098,29.306800000001097,0.2774908319767389,-41.696999999999555,-55595999.99999952
26,60m,221,58.03571428571429,53.24960000000021,0.4183687036871408,-30.817137957444857,-30911999.999999523
28,1m,111356,51.632986678724215,-2091.975999999982,-6.99017519879716,-2105.56360708533,-13800480000.000431
28,3m,39553,51.039615846338535,-1317.1199999999849,-4.700960286371804,-1316.1470823341197,-4997999999.999982
28,5m,24314,50.814584949573316,-899.6799999999827,-3.2681129746743403,-899.6799999999828,-3093599999.999996
28,10m,12811,54.527277920594116,133.58400000000478,0.5684790202922839,-72.53974821206856,-1680480000.0000024
28,15m,8618,52.20603757652522,-103.5359999999972,-0.4629230638904601,-141.47199999999995,-1136880000.0000021
28,30m,4376,47.580984434160705,-506.85599999999937,-2.028042127707091,-392.4756446991398,-570480000.0000038
28,60m,2447,48.30954169797145,-516.6480000000015,-1.6549458804531556,-518.8800000000012,-319440000.0000038
29,1m,0,0.0,0.0,0.0,0.0,0.0
29,3m,0,0.0,0.0,0.0,0.0,0.0
29,5m,0,0.0,0.0,0.0,0.0,0.0
29,10m,0,0.0,0.0,0.0,0.0,0.0
29,15m,0,0.0,0.0,0.0,0.0,0.0
29,30m,0,0.0,0.0,0.0,0.0,0.0
29,60m,0,0.0,0.0,0.0,0.0,0.0
30,1m,75399,58.43520142397194,-1374.0639999999619,-5.37348317191474,-1377.6413959085069,-9168719999.99986
30,3m,26823,59.74773179907059,-611.5759999999871,-2.416542315177487,-613.465553235895,-3253679999.9999375
30,5m,16034,61.09257199357311,-243.68799999999135,-1.017030699728222,-224.53439626141787,-1941839999.9999998
30,10m,8289,61.53846153846154,-258.39199999999903,-0.9262977822781318,-247.66761865904928,-1007760000.0
30,15m,6256,58.09102402022756,-508.0720000000009,-1.8900548808976994,-428.40324240864715,-759359999.9999971
30,30m,3658,57.60043431053204,-331.17600000000016,-1.2929714627813114,-266.5641376167696,-442080000.00000477
30,60m,1955,58.51172273190621,-438.6719999999992,-1.3631116131471743,-438.67199999999923,-239280000.0000038
31,1m,62561,53.215237498040445,-1822.7999999999763,-6.696268133186625,-1749.5595557257452,-7654800000.000092
31,3m,21192,54.92879600517847,-538.0559999999965,-1.791931027599279,-510.96691921085807,-2594399999.999998
