Timeframe,Total Trades,Win Rate,Return %,Sharpe,Max Drawdown %,PnL
15m,6902,44.844470046082954,391.760000000001,1.2888430560753492,-22.28529335297673,-830319999.9999905
30m,3834,48.205928237129484,352.5359999999997,1.4565686044569326,-16.626889419252187,-461519999.9999957
60m,1947,46.35897435897436,271.4800000000003,1.1033181187399423,-12.855209742895793,-233999999.9999981
