Datetime,equity
2020-01-02 09:00:00,1000000000.0
2020-01-02 09:15:00,1000000000.0
2020-01-02 09:30:00,1000000000.0
2020-01-02 09:45:00,1000000000.0
2020-01-02 10:00:00,1000000000.0
2020-01-02 10:15:00,1000000000.0
2020-01-02 10:30:00,1000000000.0
2020-01-02 10:45:00,1000000000.0
2020-01-02 11:00:00,1000000000.0
2020-01-02 11:15:00,1000000000.0
2020-01-02 11:30:00,1000000000.0
2020-01-02 13:00:00,1000000000.0
2020-01-02 13:15:00,1000000000.0
2020-01-02 13:30:00,1000000000.0
2020-01-02 13:45:00,999760000.0
2020-01-02 14:00:00,1002560000.0000002
2020-01-02 14:15:00,1008959999.9999998
2020-01-02 14:30:00,1008959999.9999998
2020-01-02 14:45:00,1008959999.9999998
2020-01-03 09:00:00,1013359999.9999999
2020-01-03 09:15:00,1010160000.0000001
2020-01-03 09:30:00,1008959999.9999998
2020-01-03 09:45:00,1009359999.9999999
2020-01-03 10:00:00,1007520000.0
2020-01-03 10:15:00,1007520000.0
2020-01-03 10:30:00,1007520000.0
2020-01-03 10:45:00,1007520000.0
2020-01-03 11:00:00,1007520000.0
2020-01-03 11:15:00,1007280000.0
2020-01-03 11:30:00,1007040000.0
2020-01-03 13:00:00,1006800000.0
2020-01-03 13:15:00,1004000000.0000002
2020-01-03 13:30:00,1007600000.0000002
2020-01-03 13:45:00,1004800000.0
2020-01-03 14:00:00,1012000000.0000002
2020-01-03 14:15:00,1015200000.0000001
2020-01-03 14:30:00,1015200000.0000001
2020-01-03 14:45:00,1019600000.0000002
2020-01-06 09:00:00,1028000000.0000002
2020-01-06 09:15:00,1026400000.0000004
2020-01-06 09:30:00,1026400000.0000004
2020-01-06 09:45:00,1031600000.0000002
2020-01-06 10:00:00,1029200000.0000001
2020-01-06 10:15:00,1024400000.0000004
2020-01-06 10:30:00,1020560000.0
2020-01-06 10:45:00,1020560000.0
2020-01-06 11:00:00,1020560000.0
2020-01-06 11:15:00,1020560000.0
2020-01-06 11:30:00,1020560000.0
2020-01-06 13:00:00,1020320000.0
2020-01-06 13:15:00,1012479999.9999996
2020-01-06 13:30:00,1012479999.9999996
2020-01-06 13:45:00,1012479999.9999996
2020-01-06 14:00:00,1012479999.9999996
2020-01-06 14:15:00,1012239999.9999996
2020-01-06 14:30:00,1013439999.9999994
2020-01-06 14:45:00,1013439999.9999994
2020-01-07 09:00:00,1004639999.9999993
2020-01-07 09:15:00,1010239999.9999996
2020-01-07 09:30:00,1013839999.9999995
2020-01-07 09:45:00,1009039999.9999994
2020-01-07 10:00:00,1007999999.9999996
2020-01-07 10:15:00,1007999999.9999996
2020-01-07 10:30:00,1007999999.9999996
2020-01-07 10:45:00,1007999999.9999996
2020-01-07 11:00:00,1007999999.9999996
2020-01-07 11:15:00,1007999999.9999996
2020-01-07 11:30:00,1007999999.9999996
2020-01-07 13:00:00,1007759999.9999996
2020-01-07 13:15:00,1009919999.9999993
2020-01-07 13:30:00,1009919999.9999993
2020-01-07 13:45:00,1009919999.9999993
2020-01-07 14:00:00,1009919999.9999993
2020-01-07 14:15:00,1009919999.9999993
2020-01-07 14:30:00,1009919999.9999993
2020-01-07 14:45:00,1009919999.9999993
2020-01-08 09:00:00,1009679999.9999993
2020-01-08 09:15:00,1008079999.9999994
2020-01-08 09:30:00,1005679999.9999993
2020-01-08 09:45:00,1005279999.9999992
2020-01-08 10:00:00,1005679999.9999993
2020-01-08 10:15:00,1006079999.9999994
2020-01-08 10:30:00,1002479999.9999995
2020-01-08 10:45:00,1008479999.9999995
2020-01-08 11:00:00,1021679999.9999993
2020-01-08 11:15:00,1026879999.999999
2020-01-08 11:30:00,1024879999.999999
2020-01-08 13:00:00,1027279999.9999992
2020-01-08 13:15:00,1023279999.9999992
2020-01-08 13:30:00,1028079999.9999994
2020-01-08 13:45:00,1018079999.9999994
2020-01-08 14:00:00,1018079999.9999994
2020-01-08 14:15:00,1027839999.9999994
2020-01-08 14:30:00,1027839999.9999994
