Datetime,equity
2020-01-02 09:00:00,1000000000.0
2020-01-02 09:15:00,1000000000.0
2020-01-02 09:30:00,1000000000.0
2020-01-02 09:45:00,1000000000.0
2020-01-02 10:00:00,1000000000.0
2020-01-02 10:15:00,1000000000.0
2020-01-02 10:30:00,1000000000.0
2020-01-02 10:45:00,1000000000.0
2020-01-02 11:00:00,1000000000.0
2020-01-02 11:15:00,1000000000.0
2020-01-02 11:30:00,1000000000.0
2020-01-02 13:00:00,1000000000.0
2020-01-02 13:15:00,1000000000.0
2020-01-02 13:30:00,1000000000.0
2020-01-02 13:45:00,1000000000.0
2020-01-02 14:00:00,1000000000.0
2020-01-02 14:15:00,1000000000.0
2020-01-02 14:30:00,1000000000.0
2020-01-02 14:45:00,1000000000.0
2020-01-03 09:00:00,1000000000.0
2020-01-03 09:15:00,1000000000.0
2020-01-03 09:30:00,1000000000.0
2020-01-03 09:45:00,1000000000.0
2020-01-03 10:00:00,1000000000.0
2020-01-03 10:15:00,1000000000.0
2020-01-03 10:30:00,1000000000.0
2020-01-03 10:45:00,1000000000.0
2020-01-03 11:00:00,1000000000.0
2020-01-03 11:15:00,1000000000.0
2020-01-03 11:30:00,1000000000.0
2020-01-03 13:00:00,1000000000.0
2020-01-03 13:15:00,1000000000.0
2020-01-03 13:30:00,1000000000.0
2020-01-03 13:45:00,1000000000.0
2020-01-03 14:00:00,1000000000.0
2020-01-03 14:15:00,1000000000.0
2020-01-03 14:30:00,1000000000.0
2020-01-03 14:45:00,1000000000.0
2020-01-06 09:00:00,1000000000.0
2020-01-06 09:15:00,1000000000.0
2020-01-06 09:30:00,1000000000.0
2020-01-06 09:45:00,1000000000.0
2020-01-06 10:00:00,1000000000.0
2020-01-06 10:15:00,1000000000.0
2020-01-06 10:30:00,1000000000.0
2020-01-06 10:45:00,1000000000.0
2020-01-06 11:00:00,1000000000.0
2020-01-06 11:15:00,999760000.0
2020-01-06 11:30:00,1002159999.9999996
2020-01-06 13:00:00,985760000.0
2020-01-06 13:15:00,977919999.9999996
2020-01-06 13:30:00,977919999.9999996
2020-01-06 13:45:00,977919999.9999996
2020-01-06 14:00:00,977679999.9999996
2020-01-06 14:15:00,988079999.9999998
2020-01-06 14:30:00,989279999.9999995
2020-01-06 14:45:00,989279999.9999995
2020-01-07 09:00:00,980479999.9999994
2020-01-07 09:15:00,986079999.9999998
2020-01-07 09:30:00,989679999.9999996
2020-01-07 09:45:00,984879999.9999994
2020-01-07 10:00:00,984079999.9999998
2020-01-07 10:15:00,976879999.9999994
2020-01-07 10:30:00,977039999.9999995
2020-01-07 10:45:00,977039999.9999995
2020-01-07 11:00:00,976799999.9999995
2020-01-07 11:15:00,978799999.9999995
2020-01-07 11:30:00,978399999.9999994
2020-01-07 13:00:00,973759999.9999998
2020-01-07 13:15:00,973519999.9999998
2020-01-07 13:30:00,980320000.0
2020-01-07 13:45:00,971679999.9999999
2020-01-07 14:00:00,971679999.9999999
2020-01-07 14:15:00,971679999.9999999
2020-01-07 14:30:00,971679999.9999999
2020-01-07 14:45:00,971679999.9999999
2020-01-08 09:00:00,971439999.9999999
2020-01-08 09:15:00,969840000.0
2020-01-08 09:30:00,967439999.9999999
2020-01-08 09:45:00,967039999.9999998
2020-01-08 10:00:00,967439999.9999999
2020-01-08 10:15:00,967840000.0
2020-01-08 10:30:00,964240000.0000001
2020-01-08 10:45:00,970240000.0000001
2020-01-08 11:00:00,983439999.9999999
2020-01-08 11:15:00,988639999.9999996
2020-01-08 11:30:00,986639999.9999996
2020-01-08 13:00:00,989039999.9999998
2020-01-08 13:15:00,985039999.9999998
2020-01-08 13:30:00,989840000.0
2020-01-08 13:45:00,979840000.0
2020-01-08 14:00:00,979840000.0
2020-01-08 14:15:00,989840000.0
2020-01-08 14:30:00,989840000.0
2020-01-08 14:45:00,992639999.9999996
2020-01-09 09:00:00,965760000.0000001
2020-01-09 09:15:00,965760000.0000001
2020-01-09 09:30:00,964560000.0000004
2020-01-09 09:45:00,965760000.0000001
