Timestamp,Strategy,Initial Capital,Net Equity,Total Profit,Total Fees,Total Trades,Largest Win,Largest Loss,Avg Win,Avg Loss,Unrealized PnL,Cumulative Return,CAGR,Win Rate,Profit Factor (PF),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Payoff Ratio,Volatility,Max Drawdown,Recovery Factor,Kelly Criterion,Omega Ratio,Ulcer Index,VaR,CVaR
2026-06-11 18:23:53,Basis_Arbitrage_QuarterOscillate_15m.py,1.000.000.000 ₫,1.004.240.000 ₫,+0.42%,+0.34%,14,+1.15%,-1.27%,+0.58%,-0.19%,4.240.000 ₫,+0.42%,+0.14%,+50.00%,1.24,0.13,0.19,0.08,1.24,0.01,-1.78%,0.24,+9.80%,1.24,0.01,-0.11%,-0.00%
2026-06-11 18:24:30,ORB_ATR_TimeGated_30m_v2.py,1.000.000.000 ₫,-77.200.000 ₫,-100.00%,+76.08%,3169,+9.32%,-9.16%,+0.53%,-0.19%,-1.077.200.000 ₫,-100.00%,-100.00%,+42.35%,0.85,-0.94,-0.56,-1.0,1.14,2.46,-100.00%,-1.0,-8.26%,0.85,0.5,-25.85%,-38.36%
2026-06-11 18:31:15,HeikinAshi_EMA_Trend_30m.py,1.000.000.000 ₫,4.792.880.000 ₫,+379.29%,+65.47%,2715,+14.79%,-6.80%,+0.55%,-0.23%,3.792.880.000 ₫,+379.29%,+69.19%,+47.43%,1.54,1.98,4.07,4.55,1.70,0.28,-15.19%,24.96,+16.55%,1.54,0.04,-2.68%,-2.92%
