Datetime,equity
2020-01-02 09:00:00,1000000000.0
2020-01-02 09:15:00,1000000000.0
2020-01-02 09:30:00,1000000000.0
2020-01-02 09:45:00,1000000000.0
2020-01-02 10:00:00,1000000000.0
2020-01-02 10:15:00,1000000000.0
2020-01-02 10:30:00,1000000000.0
2020-01-02 10:45:00,1000000000.0
2020-01-02 11:00:00,1000000000.0
2020-01-02 11:15:00,1000000000.0
2020-01-02 11:30:00,1000000000.0
2020-01-02 13:00:00,1000000000.0
2020-01-02 13:15:00,1000000000.0
2020-01-02 13:30:00,1000000000.0
2020-01-02 13:45:00,1000000000.0
2020-01-02 14:00:00,1000000000.0
2020-01-02 14:15:00,1000000000.0
2020-01-02 14:30:00,1000000000.0
2020-01-02 14:45:00,1000000000.0
2020-01-03 09:00:00,1000000000.0
2020-01-03 09:15:00,1000000000.0
2020-01-03 09:30:00,1000000000.0
2020-01-03 09:45:00,1000000000.0
2020-01-03 10:00:00,1000000000.0
2020-01-03 10:15:00,1000000000.0
2020-01-03 10:30:00,1000000000.0
2020-01-03 10:45:00,1000000000.0
2020-01-03 11:00:00,1000000000.0
2020-01-03 11:15:00,1000000000.0
2020-01-03 11:30:00,1000000000.0
2020-01-03 13:00:00,999760000.0
2020-01-03 13:15:00,996960000.0000002
2020-01-03 13:30:00,1000560000.0000002
2020-01-03 13:45:00,997760000.0
2020-01-03 14:00:00,1004960000.0000002
2020-01-03 14:15:00,1008160000.0000001
2020-01-03 14:30:00,1008160000.0000001
2020-01-03 14:45:00,1012560000.0000002
2020-01-06 09:00:00,1020960000.0000002
2020-01-06 09:15:00,1019360000.0000004
2020-01-06 09:30:00,1019360000.0000004
2020-01-06 09:45:00,1024560000.0000002
2020-01-06 10:00:00,1022160000.0000001
2020-01-06 10:15:00,1017360000.0000004
2020-01-06 10:30:00,1013520000.0
2020-01-06 10:45:00,1013520000.0
2020-01-06 11:00:00,1013280000.0
2020-01-06 11:15:00,997199999.9999996
2020-01-06 11:30:00,999599999.9999993
2020-01-06 13:00:00,982959999.9999996
2020-01-06 13:15:00,982719999.9999996
2020-01-06 13:30:00,983919999.9999994
2020-01-06 13:45:00,983519999.9999994
2020-01-06 14:00:00,992319999.9999995
2020-01-06 14:15:00,1002719999.9999996
2020-01-06 14:30:00,1003919999.9999994
2020-01-06 14:45:00,1003919999.9999994
2020-01-07 09:00:00,995119999.9999993
2020-01-07 09:15:00,1000719999.9999996
2020-01-07 09:30:00,1004319999.9999995
2020-01-07 09:45:00,999519999.9999994
2020-01-07 10:00:00,998719999.9999996
2020-01-07 10:15:00,991519999.9999994
2020-01-07 10:30:00,991919999.9999994
2020-01-07 10:45:00,991279999.9999994
2020-01-07 11:00:00,991279999.9999994
2020-01-07 11:15:00,991279999.9999994
2020-01-07 11:30:00,991279999.9999994
2020-01-07 13:00:00,991279999.9999994
2020-01-07 13:15:00,991279999.9999994
2020-01-07 13:30:00,991279999.9999994
2020-01-07 13:45:00,991279999.9999994
2020-01-07 14:00:00,991279999.9999994
2020-01-07 14:15:00,991279999.9999994
2020-01-07 14:30:00,991279999.9999994
2020-01-07 14:45:00,991279999.9999994
2020-01-08 09:00:00,991039999.9999994
2020-01-08 09:15:00,989439999.9999995
2020-01-08 09:30:00,987039999.9999994
2020-01-08 09:45:00,986639999.9999993
2020-01-08 10:00:00,987039999.9999994
2020-01-08 10:15:00,987439999.9999995
2020-01-08 10:30:00,983839999.9999996
2020-01-08 10:45:00,989839999.9999996
2020-01-08 11:00:00,1003039999.9999994
2020-01-08 11:15:00,1008239999.9999992
2020-01-08 11:30:00,1006239999.9999992
2020-01-08 13:00:00,1008639999.9999993
2020-01-08 13:15:00,1004639999.9999993
2020-01-08 13:30:00,1009439999.9999995
2020-01-08 13:45:00,999199999.9999995
2020-01-08 14:00:00,999199999.9999995
2020-01-08 14:15:00,998959999.9999995
2020-01-08 14:30:00,998719999.9999995
2020-01-08 14:45:00,998719999.9999995
2020-01-09 09:00:00,998479999.9999995
